Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
26,Lonzo Ball\balllo01,PG,21,LAL,34,984,11.2,.478,.505,.096,4.0,14.2,9.2,21.1,2.4,1.0,18.6,16.4,,-0.3,1.3,1.1,.052,,-1.4,1.6,0.2,0.6
27,Mohamed Bamba\bambamo01,C,20,ORL,32,540,15.3,.524,.324,.223,8.5,22.2,15.1,10.0,0.9,6.8,11.3,18.2,,0.3,0.8,1.0,.092,,-2.4,2.7,0.3,0.3
28,J.J. Barea\bareajo01,PG,34,DAL,30,602,18.6,.517,.309,.201,1.8,11.6,6.8,48.0,1.4,0.1,13.9,28.0,,0.8,0.5,1.3,.105,,2.3,-2.3,0.0,0.3
29,Harrison Barnes\barneha02,SF,26,DAL,29,928,14.3,.554,.423,.263,2.8,11.2,7.1,5.6,1.1,0.8,8.1,23.9,,0.9,0.7,1.5,.080,,-0.2,-2.3,-2.5,-0.1
30,Will Barton\bartowi01,SG,28,DEN,2,54,22.6,.725,.429,.190,0.0,20.2,10.0,17.5,0.9,3.3,11.6,20.4,,0.2,0.1,0.3,.230,,3.2,0.0,3.2,0.1
31,Keita Bates-Diop\bateske01,SF,23,MIN,2,18,-1.1,.250,.500,.000,0.0,17.9,8.9,0.0,0.0,4.8,0.0,18.8,,-0.1,0.0,-0.1,-0.180,,-11.9,-4.1,-16.0,-0.1
32,Nicolas Batum\batumni01,SF,30,CHO,33,1010,11.2,.565,.450,.124,3.3,14.5,8.9,14.9,1.2,1.2,17.1,13.5,,0.7,0.8,1.4,.069,,-0.3,0.5,0.2,0.6
33,Jerryd Bayless\bayleje01,PG,30,MIN,3,30,10.1,.485,.429,.071,3.5,3.6,3.6,29.4,1.6,0.0,17.2,24.5,,0.0,0.0,0.0,-0.008,,-1.7,-4.6,-6.3,0.0
34,Aron Baynes\baynear01,C,32,BOS,25,356,15.3,.572,.356,.346,11.4,20.2,15.8,11.8,0.5,2.8,13.1,16.7,,0.7,0.6,1.3,.170,,-0.1,1.1,0.9,0.3
35,Kent Bazemore\bazemke01,SG,29,ATL,33,906,14.9,.552,.416,.276,2.2,13.4,7.6,14.7,2.9,3.1,14.0,21.9,,0.2,0.9,1.1,.060,,-0.7,0.9,0.2,0.5
36,Bradley Beal\bealbr01,SG,25,WAS,35,1280,18.7,.571,.369,.248,2.8,12.0,7.3,21.0,1.4,2.1,11.0,27.0,,1.8,0.4,2.2,.083,,2.5,-1.5,0.9,0.9
37,Malik Beasley\beaslma01,SG,22,DEN,32,640,12.5,.560,.515,.063,2.3,11.6,6.9,7.7,1.5,0.4,6.5,17.4,,0.7,0.7,1.4,.101,,0.2,-1.4,-1.2,0.1
38,Michael Beasley\beaslmi01,PF,30,LAL,10,71,12.4,.555,.108,.162,4.6,15.6,10.3,6.7,1.3,0.0,15.0,27.4,,0.0,0.1,0.0,.022,,-4.9,-3.3,-8.2,-0.1
39,Marco Belinelli\belinma01,SG,32,SAS,34,746,12.4,.532,.563,.150,1.2,9.6,5.4,12.5,1.1,0.6,7.0,20.3,,0.6,0.4,1.0,.067,,0.9,-2.5,-1.5,0.1
40,Jordan Bell\belljo01,C,24,GSW,33,395,12.5,.526,.014,.278,7.4,16.8,12.2,12.8,1.7,5.8,18.2,10.7,,0.3,0.5,0.9,.104,,-2.5,3.6,1.1,0.3
41,DeAndre' Bembry\bembrde01,SG,24,ATL,33,750,10.5,.492,.322,.248,2.3,17.5,9.7,16.9,2.4,2.3,16.7,17.5,,-0.5,0.7,0.2,.015,,-3.6,1.2,-2.4,-0.1
42,Dragan Bender\bendedr01,PF,21,PHO,11,88,5.0,.475,.591,.227,6.3,12.8,9.5,7.8,0.0,0.0,19.9,15.0,,-0.1,0.0,-0.1,-0.041,,-4.6,-3.3,-7.9,-0.1
43,Davis Bertans\bertada01,PF,26,SAS,31,559,16.6,.712,.734,.152,2.6,15.5,9.1,7.9,1.1,1.8,8.2,14.5,,1.5,0.5,2.0,.168,,3.9,-0.7,3.2,0.7
44,Patrick Beverley\beverpa01,PG,30,LAC,34,833,9.9,.506,.573,.257,3.4,12.7,8.2,18.5,1.3,1.0,13.6,13.6,,0.7,0.5,1.2,.067,,0.5,0.0,0.6,0.5
45,Khem Birch\birchkh01,C,26,ORL,11,89,11.8,.578,.000,.211,7.2,17.8,12.3,3.2,2.2,1.9,12.6,11.8,,0.1,0.1,0.2,.100,,-4.1,0.7,-3.4,0.0
46,Bismack Biyombo\biyombi01,C,26,CHO,10,77,10.3,.564,.000,.750,6.9,18.3,12.6,3.4,0.6,10.2,20.0,11.1,,0.0,0.1,0.1,.079,,-5.1,4.3,-0.8,0.0
47,Nemanja Bjelica\bjeline01,PF,30,SAC,34,832,16.5,.628,.444,.159,6.0,19.0,12.4,10.6,1.6,3.0,13.9,17.1,,1.3,0.8,2.2,.124,,1.8,1.2,2.9,1.0
48,Antonio Blakeney\blakean01,SG,22,CHI,28,446,11.4,.503,.268,.196,1.2,11.4,6.3,5.8,0.9,1.0,8.3,26.3,,-0.5,0.2,-0.3,-0.029,,-4.5,-3.8,-8.3,-0.7
49,Eric Bledsoe\bledser01,PG,29,MIL,33,986,19.2,.593,.381,.246,3.9,10.7,7.5,27.9,2.0,1.3,14.2,22.0,,2.2,1.5,3.7,.180,,2.8,0.7,3.5,1.4
50,Jaron Blossomgame\blossja01,SF,25,CLE,12,214,12.4,.606,.477,.114,6.5,17.7,11.9,5.3,0.9,1.2,9.8,10.5,,0.3,0.0,0.4,.081,,-0.6,-1.2,-1.7,0.0
51,Bogdan Bogdanovic\bogdabo01,SG,26,SAC,22,592,15.8,.549,.449,.239,2.1,10.9,6.4,20.2,1.2,0.3,8.8,23.0,,0.9,0.2,1.1,.093,,2.2,-2.5,-0.3,0.3
52,Bojan Bogdanovic\bogdabo02,SF,29,IND,35,1109,15.4,.643,.403,.311,1.8,11.5,6.8,7.2,1.4,0.0,12.2,20.0,,1.8,1.5,3.2,.140,,1.4,-0.9,0.5,0.7
53,Jonah Bolden\boldejo01,PF,23,PHI,10,79,6.6,.407,.588,.353,4.2,23.4,14.2,4.9,1.8,6.9,23.4,13.7,,-0.2,0.2,0.0,-0.010,,-7.2,3.5,-3.7,0.0
54,Isaac Bonga\bongais01,PG,19,LAL,5,17,13.3,.361,.143,.429,12.8,11.9,12.3,22.6,8.3,0.0,19.4,25.3,,0.0,0.0,0.0,.000,,-4.0,5.0,1.0,0.0
55,Devin Booker\bookede01,SG,22,PHO,25,905,18.7,.558,.375,.276,2.0,10.5,6.2,34.3,1.5,0.6,15.0,32.1,,0.8,0.4,1.1,.061,,3.4,-2.4,0.9,0.7
56,Chris Boucher\bouchch01,PF,26,TOR,7,31,28.0,.540,.533,.533,14.5,26.9,20.9,0.0,1.6,20.8,9.7,28.6,,0.0,0.1,0.1,.226,,-3.5,3.5,0.0,0.0
57,Avery Bradley\bradlav01,SG,28,LAC,28,824,5.2,.460,.382,.066,2.2,6.2,4.3,8.6,1.0,1.1,14.6,14.2,,-0.7,0.2,-0.5,-0.027,,-2.4,-0.5,-2.9,-0.2
58,Mikal Bridges\bridgmi01,SF,22,PHO,35,890,10.4,.535,.537,.166,2.6,9.5,6.0,7.6,2.7,1.3,9.6,13.3,,0.4,0.6,1.0,.054,,-1.0,0.5,-0.6,0.3
59,Miles Bridges\bridgmi02,SF,20,CHO,32,647,13.3,.566,.429,.188,3.1,17.5,10.2,6.9,1.5,3.2,9.2,15.1,,0.5,0.7,1.3,.094,,-0.9,0.8,-0.2,0.3
60,Isaiah Briscoe\briscis01,PG,22,ORL,12,80,2.2,.386,.080,.200,0.0,8.5,4.1,16.2,0.0,0.0,12.8,17.3,,-0.2,0.0,-0.2,-0.091,,-8.5,-3.7,-12.2,-0.2
61,Ryan Broekhoff\broekry01,SG,28,DAL,15,74,8.0,.490,.818,.045,3.0,16.0,9.6,5.7,0.6,1.1,8.2,14.0,,0.0,0.1,0.1,.037,,-2.6,-1.8,-4.4,0.0
62,Malcolm Brogdon\brogdma01,SG,26,MIL,30,888,16.8,.614,.342,.152,3.9,12.0,8.2,16.7,1.0,0.6,12.1,20.0,,1.8,1.1,2.9,.156,,1.7,-0.2,1.5,0.8
63,Dillon Brooks\brookdi01,SF,23,MEM,13,235,7.2,.477,.297,.270,2.9,9.4,6.1,7.9,1.7,1.6,12.7,18.7,,-0.3,0.3,0.0,.002,,-4.8,-0.5,-5.3,-0.2
64,MarShon Brooks\brookma01,SG,30,MEM,28,384,12.4,.520,.321,.196,3.6,10.0,6.8,10.9,1.2,1.0,9.9,24.4,,-0.1,0.4,0.2,.030,,-2.5,-2.4,-5.0,-0.3
65,Bruce Brown\brownbr01,SG,22,DET,25,444,8.3,.495,.314,.219,3.5,12.1,7.6,8.0,1.4,2.7,10.8,12.2,,0.1,0.6,0.6,.069,,-3.3,2.1,-1.2,0.1
66,Jaylen Brown\brownja02,SG,22,BOS,28,746,10.4,.484,.359,.238,4.3,11.8,8.0,8.2,1.6,1.9,10.8,21.3,,-0.4,1.1,0.7,.044,,-3.0,0.2,-2.8,-0.1
67,Lorenzo Brown\brownlo01,PG,28,TOR,22,197,6.7,.395,.415,.031,2.9,12.7,8.0,17.0,2.5,2.0,19.5,17.9,,-0.4,0.3,-0.1,-0.026,,-5.0,1.6,-3.5,-0.1
68,Sterling Brown\brownst02,SG,23,MIL,24,340,11.4,.559,.471,.098,4.1,16.2,10.5,9.4,0.8,0.7,9.4,14.5,,0.3,0.5,0.8,.113,,-1.3,-0.2,-1.5,0.0
69,Troy Brown\browntr01,SF,19,WAS,16,102,10.1,.399,.189,.270,3.2,19.9,11.4,18.7,2.8,0.0,8.8,19.0,,-0.1,0.1,0.0,-0.012,,-5.1,-0.7,-5.8,-0.1
70,Jalen Brunson\brunsja01,PG,22,DAL,29,492,10.8,.514,.313,.221,2.0,7.9,5.0,16.2,1.8,0.0,11.0,17.4,,0.2,0.4,0.6,.057,,-1.8,-1.4,-3.2,-0.2
71,Thomas Bryant\bryanth01,C,21,WAS,25,388,21.0,.720,.195,.310,7.8,23.8,15.6,7.9,1.0,3.5,11.1,15.9,,1.2,0.3,1.5,.181,,1.0,-0.1,0.9,0.3
72,Reggie Bullock\bullore01,SG,27,DET,24,723,10.9,.574,.619,.164,1.1,7.4,4.1,11.4,0.9,0.2,9.7,15.6,,0.8,0.6,1.4,.094,,0.4,-1.0,-0.6,0.3
73,Trey Burke\burketr01,PG,26,NYK,24,485,15.5,.484,.262,.206,3.1,9.1,6.0,23.8,1.6,0.4,8.2,25.6,,0.3,0.1,0.4,.039,,0.2,-3.1,-2.9,-0.1
74,Alec Burks\burksal01,SG,27,TOT,32,689,11.5,.488,.360,.294,1.7,15.9,8.6,12.9,1.3,1.5,10.2,21.7,,-0.1,0.5,0.3,.023,,-2.5,-1.1,-3.6,-0.3
74,Alec Burks\burksal01,SG,27,UTA,17,269,12.8,.547,.377,.333,0.8,10.3,5.6,11.7,1.1,1.2,10.3,23.5,,0.1,0.3,0.4,.077,,-1.8,-1.6,-3.3,-0.1
74,Alec Burks\burksal01,SG,27,CLE,15,420,10.7,.445,.348,.266,2.3,19.4,10.5,13.6,1.4,1.6,10.2,20.6,,-0.3,0.2,-0.1,-0.012,,-3.0,-0.8,-3.8,-0.2
75,Deonte Burton\burtode02,SG,25,OKC,15,131,8.0,.504,.283,.130,0.8,12.0,6.3,5.3,1.1,3.2,12.6,17.2,,-0.1,0.2,0.1,.048,,-5.9,0.1,-5.7,-0.1
76,Jimmy Butler\butleji01,SG,29,TOT,28,935,21.5,.581,.255,.348,5.6,10.3,8.0,16.8,3.0,1.8,8.0,23.3,,2.3,1.1,3.5,.178,,3.2,0.7,3.9,1.4
76,Jimmy Butler\butleji01,SG,29,MIN,10,361,22.6,.579,.287,.389,4.7,10.7,7.7,18.6,3.2,2.4,7.1,23.1,,1.0,0.4,1.4,.183,,4.0,1.3,5.2,0.7
76,Jimmy Butler\butleji01,SG,29,PHI,18,574,20.7,.583,.236,.323,6.2,10.0,8.2,15.7,2.9,1.4,8.5,23.4,,1.3,0.7,2.1,.175,,2.7,0.4,3.1,0.7
77,Jose Calderon\caldejo01,PG,37,DET,26,349,6.6,.381,.481,.091,2.1,8.3,5.1,25.7,1.7,0.5,18.4,11.8,,-0.2,0.4,0.2,.026,,-4.2,-0.4,-4.6,-0.2
78,Kentavious Caldwell-Pope\caldwke01,SG,25,LAL,34,750,12.2,.576,.584,.265,2.2,9.2,5.8,5.1,1.7,0.5,6.3,15.8,,1.0,0.7,1.7,.108,,0.2,-1.1,-0.9,0.2
79,Isaiah Canaan\canaais01,PG,27,PHO,19,503,7.6,.515,.558,.155,1.1,9.9,5.4,17.2,1.2,0.0,17.4,14.5,,-0.1,0.1,0.0,.004,,-2.4,-2.0,-4.4,-0.3
80,Clint Capela\capelca01,C,24,HOU,33,1109,24.6,.637,.000,.311,16.2,26.4,21.1,7.9,0.9,5.0,11.1,19.7,,3.6,1.2,4.8,.207,,1.7,1.6,3.3,1.5
81,DeMarre Carroll\carrode01,SF,32,BRK,25,571,9.7,.506,.561,.376,4.7,18.3,11.4,5.0,0.8,0.3,11.3,18.7,,0.1,0.3,0.4,.034,,-2.4,-2.2,-4.6,-0.4
82,Jevon Carter\carteje01,PG,23,MEM,4,63,2.7,.421,.474,.000,0.0,9.3,4.6,7.2,2.4,1.5,17.4,16.9,,-0.2,0.1,-0.1,-0.067,,-7.0,0.0,-7.0,-0.1
83,Vince Carter\cartevi01,SF,42,ATL,30,535,11.2,.543,.637,.116,2.3,14.4,8.2,8.7,1.5,1.8,8.3,16.6,,0.3,0.3,0.6,.054,,-1.1,-1.3,-2.4,-0.1
84,Wendell Carter\cartewe01,C,19,CHI,35,861,15.3,.532,.087,.307,8.4,21.2,14.8,12.2,1.0,5.1,13.5,20.2,,0.4,1.1,1.4,.079,,-2.7,2.4,-0.4,0.4
85,Michael Carter-Williams\cartemi01,PG,27,HOU,16,145,13.1,.476,.311,.426,2.3,8.1,5.1,23.3,3.1,3.5,12.1,25.0,,0.0,0.1,0.1,.039,,-2.7,-0.6,-3.3,0.0
86,Omri Casspi\casspom01,SF,30,MEM,24,296,17.4,.627,.287,.437,3.1,25.6,14.2,11.7,1.5,1.6,11.1,18.2,,0.5,0.5,0.9,.151,,-1.1,0.5,-0.6,0.1
87,Willie Cauley-Stein\caulewi01,C,25,SAC,34,964,18.1,.550,.003,.314,8.1,23.2,15.5,12.2,2.0,1.6,9.1,20.2,,1.4,1.1,2.5,.123,,-0.1,1.3,1.2,0.8
88,Tyson Chandler\chandty01,C,36,TOT,30,553,11.1,.612,.000,.770,11.4,26.1,18.9,4.7,1.4,1.8,23.4,8.1,,0.6,0.8,1.4,.121,,-2.8,2.0,-0.8,0.2
88,Tyson Chandler\chandty01,C,36,PHO,7,89,12.0,.653,.000,1.500,8.7,40.5,24.5,9.3,1.1,0.9,26.0,13.2,,0.1,0.1,0.2,.103,,-4.7,0.5,-4.2,0.0
88,Tyson Chandler\chandty01,C,36,LAL,23,464,10.9,.599,.000,.592,11.9,23.3,17.8,3.8,1.5,2.0,22.6,7.2,,0.5,0.7,1.2,.124,,-2.4,2.3,-0.1,0.2
89,Wilson Chandler\chandwi01,PF,31,PHI,22,576,8.9,.566,.532,.087,5.9,13.9,10.1,10.3,0.6,1.4,16.6,11.5,,0.4,0.5,0.8,.070,,-0.8,0.2,-0.6,0.2
90,Marquese Chriss\chrisma01,PF,21,HOU,10,57,4.5,.407,.455,.136,5.8,16.6,11.0,8.1,0.9,3.0,17.7,21.8,,-0.2,0.0,-0.1,-0.096,,-7.5,-1.8,-9.2,-0.1
91,Gary Clark\clarkga01,PF,24,HOU,24,384,8.8,.456,.918,.071,4.0,16.6,10.1,3.9,1.3,3.8,2.2,10.2,,0.2,0.3,0.5,.059,,-2.3,0.5,-1.8,0.0
92,Ian Clark\clarkia01,SG,27,NOP,25,353,4.6,.443,.467,.095,1.2,9.9,5.6,11.3,0.8,0.5,14.8,14.9,,-0.3,0.1,-0.3,-0.034,,-4.1,-2.1,-6.2,-0.4
93,Jordan Clarkson\clarkjo01,SG,26,CLE,34,898,17.7,.536,.345,.145,4.4,10.4,7.3,15.1,1.2,0.5,9.5,29.3,,0.9,0.0,0.9,.049,,2.0,-3.7,-1.8,0.1
94,John Collins\collijo01,PF,21,ATL,17,492,21.0,.626,.173,.274,12.4,24.8,18.4,14.5,0.1,1.8,14.2,24.5,,1.0,0.2,1.2,.121,,1.8,-1.3,0.5,0.3
95,Zach Collins\colliza01,C,21,POR,34,652,14.0,.601,.312,.296,7.9,15.5,11.8,6.6,0.8,3.7,16.4,16.7,,0.8,0.6,1.4,.103,,-0.5,0.6,0.1,0.3
96,Darren Collison\collida01,PG,31,IND,35,976,13.8,.526,.325,.243,2.1,9.3,5.8,27.0,2.5,0.6,15.4,15.7,,1.0,1.5,2.5,.125,,-0.4,0.6,0.2,0.6
97,Mike Conley\conlemi01,PG,31,MEM,33,1125,20.7,.547,.388,.318,1.7,9.7,5.7,33.5,1.9,1.3,8.8,27.6,,2.2,1.3,3.5,.149,,4.0,-1.0,3.0,1.4
98,Pat Connaughton\connapa01,SG,26,MIL,24,457,13.6,.515,.622,.148,5.4,15.1,10.5,13.7,1.3,2.8,6.5,14.2,,0.6,0.7,1.3,.140,,0.1,1.8,1.9,0.4
99,Quinn Cook\cookqu01,PG,25,GSW,30,488,13.7,.571,.428,.085,1.8,13.4,7.8,16.0,1.1,0.3,10.7,20.5,,0.5,0.3,0.8,.081,,0.2,-2.7,-2.5,-0.1
100,Robert Covington\covinro01,SF,28,TOT,32,1084,13.1,.573,.622,.238,2.2,15.4,8.8,5.0,3.0,3.1,10.6,15.4,,0.7,1.6,2.2,.099,,0.2,2.3,2.5,1.2
101,Allen Crabbe\crabbal01,SG,26,BRK,28,732,7.6,.501,.677,.153,1.9,12.7,7.2,5.8,1.1,0.9,10.8,17.4,,-0.2,0.4,0.2,.016,,-1.9,-1.4,-3.3,-0.2
102,Torrey Craig\craigto01,SF,28,DEN,27,539,8.1,.487,.477,.152,7.6,12.1,9.8,5.2,1.0,2.3,12.4,12.8,,0.1,0.6,0.6,.057,,-2.1,0.5,-1.6,0.1
103,Jamal Crawford\crawfja01,SG,38,PHO,30,527,9.3,.468,.434,.255,1.1,6.6,3.8,27.7,1.0,0.8,16.8,21.7,,-0.4,0.1,-0.3,-0.029,,-3.4,-4.1,-7.5,-0.7
104,Jae Crowder\crowdja01,SF,28,UTA,35,963,13.1,.558,.637,.286,2.9,16.3,9.6,8.7,1.2,1.3,8.2,18.7,,0.9,1.2,2.1,.106,,0.6,0.3,0.9,0.7
105,Dante Cunningham\cunnida01,PF,31,SAS,32,663,11.0,.608,.450,.110,6.1,17.5,11.8,6.9,1.5,1.5,12.3,8.6,,0.9,0.7,1.5,.109,,0.2,1.5,1.7,0.6
106,Seth Curry\curryse01,SG,28,POR,28,467,7.1,.556,.549,.041,1.8,6.4,4.2,7.3,0.7,0.3,13.9,13.1,,0.2,0.1,0.3,.030,,-1.4,-1.9,-3.3,-0.2
107,Stephen Curry\curryst01,PG,30,GSW,24,822,26.1,.661,.560,.252,2.0,13.6,8.0,24.9,1.9,0.7,11.7,30.7,,3.0,0.7,3.7,.218,,8.7,-2.0,6.6,1.8
108,Troy Daniels\danietr01,SG,27,PHO,15,225,11.1,.593,.750,.100,2.0,8.0,5.0,5.3,2.2,0.4,12.6,18.6,,0.1,0.1,0.2,.039,,-0.1,-2.7,-2.8,0.0
109,Anthony Davis\davisan02,C,25,NOP,31,1143,29.6,.586,.150,.419,9.3,26.9,18.3,19.8,2.1,6.0,8.4,29.1,,4.0,1.8,5.8,.244,,4.8,4.0,8.8,3.1
110,Ed Davis\davised01,C,29,BRK,36,639,18.1,.613,.014,.411,19.0,31.6,25.2,5.7,1.4,1.6,14.4,13.1,,1.5,0.8,2.3,.176,,-0.1,0.8,0.6,0.4
111,Tyler Davis\davisty01,C,21,OKC,1,1,0.0,.000,.000,.000,100.0,0.0,51.6,0.0,0.0,0.0,0.0,40.6,,0.0,0.0,0.0,-0.459,,-14.6,-20.0,-34.6,0.0
