Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
223,Demetrius Jackson\jacksde01,PG,24,PHI,3,0,4.7,0.7,1.0,.667,0.0,0.0,,0.7,1.0,.667,.667,0.0,0.0,,0.0,0.3,0.3,1.0,0.3,0.0,0.3,0.3,1.3
224,Frank Jackson\jacksfr01,PG,20,NOP,21,0,12.3,1.6,4.0,.405,0.6,1.6,.382,1.0,2.4,.420,.482,0.6,0.9,.722,0.1,0.7,0.8,0.6,0.1,0.0,0.7,1.4,4.5
225,Jaren Jackson\jacksja02,C,19,MEM,34,32,25.5,5.0,9.8,.512,0.8,2.4,.341,4.2,7.4,.568,.554,2.3,3.0,.765,1.2,3.5,4.7,1.3,0.9,1.8,1.6,3.7,13.1
226,Josh Jackson\jacksjo02,SG,21,PHO,35,9,21.7,3.5,8.9,.388,0.7,2.3,.288,2.8,6.6,.422,.425,1.4,2.2,.623,0.7,3.2,3.9,2.2,1.0,0.5,2.3,2.3,8.9
227,Justin Jackson\jacksju01,SF,23,SAC,33,3,20.8,2.5,5.6,.452,1.1,3.0,.357,1.5,2.7,.557,.546,0.6,0.8,.750,0.4,2.2,2.7,1.3,0.4,0.2,0.4,1.2,6.8
228,Reggie Jackson\jacksre01,PG,28,DET,32,32,28.5,5.0,12.6,.400,2.0,5.8,.342,3.0,6.7,.451,.480,3.3,3.8,.862,0.7,2.0,2.6,4.4,0.7,0.1,2.0,3.1,15.4
229,LeBron James\jamesle01,PF,34,LAL,34,34,34.6,10.0,19.3,.518,2.0,5.6,.356,8.0,13.7,.585,.570,5.3,7.8,.682,0.9,7.4,8.3,7.1,1.3,0.7,3.4,1.6,27.3
230,Jonas Jerebko\jerebjo01,PF,31,GSW,35,6,20.5,2.8,5.8,.480,1.2,3.2,.372,1.6,2.6,.615,.583,1.0,1.3,.818,1.3,3.8,5.1,1.7,0.4,0.2,0.9,2.5,7.8
231,Alize Johnson\johnsal02,PF,22,IND,4,0,3.0,0.3,0.8,.333,0.0,0.0,,0.3,0.8,.333,.333,0.0,0.5,.000,0.0,1.0,1.0,0.0,0.0,0.3,0.0,0.8,0.5
232,Amir Johnson\johnsam01,C,31,PHI,31,1,9.5,1.5,2.7,.542,0.2,0.6,.389,1.2,2.1,.585,.584,0.6,0.8,.760,0.7,1.8,2.5,1.2,0.3,0.2,0.9,2.0,3.7
233,James Johnson\johnsja01,PF,31,MIA,18,16,21.2,3.3,7.7,.428,0.8,2.8,.294,2.4,4.8,.506,.482,0.9,1.3,.708,0.5,2.9,3.4,2.5,0.7,0.3,1.1,2.2,8.3
234,Stanley Johnson\johnsst04,SF,22,DET,28,7,22.1,3.4,8.6,.398,1.3,4.5,.286,2.1,4.1,.522,.473,0.8,1.0,.793,0.8,3.3,4.0,1.3,1.0,0.3,1.5,2.2,9.0
235,Tyler Johnson\johnsty01,PG,26,MIA,26,4,25.5,4.1,9.2,.446,1.7,4.4,.395,2.4,4.8,.492,.540,1.8,2.5,.708,0.4,2.5,3.0,2.3,0.8,0.5,1.5,1.8,11.7
236,Wesley Johnson\johnswe01,SF,31,NOP,22,13,16.4,1.5,3.6,.413,0.9,2.1,.413,0.6,1.5,.412,.531,0.2,0.3,.833,0.5,2.0,2.5,0.7,0.5,0.3,0.5,2.0,4.1
237,Nikola Jokic\jokicni01,C,23,DEN,32,32,30.6,6.5,13.5,.481,1.1,3.3,.318,5.4,10.2,.535,.521,3.7,4.3,.842,2.6,7.2,9.8,7.3,1.5,0.7,3.0,2.8,17.7
238,Damian Jones\jonesda03,C,23,GSW,24,22,17.1,2.2,3.1,.716,0.0,0.0,,2.2,3.1,.716,.716,1.0,1.5,.649,1.3,1.8,3.1,1.2,0.5,1.0,0.7,2.6,5.4
239,Derrick Jones\jonesde02,SF,21,MIA,23,4,16.7,2.3,5.1,.458,0.4,1.3,.323,1.9,3.8,.506,.500,1.2,2.0,.596,1.9,2.4,4.3,0.5,0.7,0.7,0.7,2.0,6.3
240,Jalen Jones\jonesja04,SF,25,CLE,8,0,8.1,1.0,2.3,.444,0.5,1.1,.444,0.5,1.1,.444,.556,0.5,0.8,.667,0.3,1.4,1.6,0.3,0.3,0.1,0.1,1.1,3.0
241,Tyus Jones\jonesty01,PG,22,MIN,33,3,18.5,1.7,4.7,.361,0.5,1.7,.298,1.2,3.0,.398,.416,0.5,0.7,.783,0.3,1.4,1.7,3.2,1.1,0.1,0.5,0.9,4.5
242,DeAndre Jordan\jordade01,C,30,DAL,33,33,31.5,4.2,6.6,.635,0.0,0.0,,4.2,6.6,.635,.635,3.0,4.2,.710,3.1,11.1,14.2,2.2,0.7,0.9,2.2,2.4,11.4
243,Cory Joseph\josepco01,PG,27,IND,35,0,25.7,3.2,6.9,.457,0.9,2.3,.380,2.3,4.7,.494,.519,0.3,0.5,.556,0.4,3.3,3.7,3.8,1.3,0.2,1.2,1.7,7.5
244,Frank Kaminsky\kaminfr01,PF,25,CHO,20,0,11.6,2.0,4.1,.488,0.6,1.8,.333,1.4,2.3,.609,.561,1.0,1.5,.690,0.6,1.8,2.4,1.0,0.2,0.3,0.8,1.3,5.6
